"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAZ334_004";"THR connection";"";
"REFERENCE";"1985823";"";
"ATT_0173_1_02_BAF016_008";"7.5";"";
"TraceParts.PartVersion";"1.1.13";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAA020_012";"12";"";
"ATT_0173_1_02_BAC739_009";"0.14";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"ATT_0173_1_02_BAC740_009";"0.14";"";
"ATT_0173_1_02_AAO663_005";"4017918929220";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-24122020-041308AY5MVQPYYH7CR2G3GEJG0VKCZ";"";
"ATT_0173_1_02_BAB577_010";"7.3";"";
"ATT_0173_1_02_BAC677_009";"1.5";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"MKDS 1/ 2-3,81 HT BK";"";
"ATT_0173_1_02_AAP798_003";"IEC 60947-7-4";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"ATT_0173_1_02_AAB789_009";"0.5";"";
"ATT_0173_1_02_BAC676_009";"1.5";"";
"TraceParts.PartNumber";"10-24122020-041308";"";
