Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C17, C2, C21, C23, C24, C25, C26, C28, C29, C30, C34, C38, C4, C41, C5, C6, C7, C8, C9",0603,23,100n,C1525
"C13, C20, C36, C40, C42",0805,5,10u,C15850
"C14, C15, C16, C27, C3",0805,5,4.7u,C23733
"C18, C19",0603,2,15p,C1548
"C22, C31, C37",0805,3,1u,C28323
"C32, C33",0805,2,1u,C15850
"C35, C39",0805,2,22u,C45783
C43,0805,1,10u,
"C44, C45",C_Radial_D5.0mm_H11.0mm_P2.00mm,2,100u,C15850
"C46, C47, C48, C49",0603,4,100n,C15850
"D1, D2, D3, D4, D5",0805,5,RED_LED,C84256
"D10, D11",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
"D6, D7, D8, D9",D_SOD-123F,4,BZT52Bxx,
"F1, F2, F3, F4",ERBRE3R00V,4,ERBRE3R00V,C713406
FB1,0805,1,120ohm,
"G1, G2",3x4PinHeaderCase90deg,2,3x4PinHeaderCase90deg,
G3,orientationIndicator,1,orientationIndicator,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO14580_Pad,4,MountingHole,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J10, J11, J14, J15, J16, J17, J7, J8",PinHeader_1x03_P2.54mm_Vertical,8,Conn_01x03,
J12,CUI_MSD-4-A,1,MSD-4-A,
"J13, J18, J19, J24, J26, J28, J6, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,8,Conn_01x04_Socket,
J2,SMA_Amphenol_132134-11_Vertical,1,Conn_Coaxial,
"J20, J21, J22, J23, J3, J32, J33, J4",ScrewTerminal_1x02_P3.5mm_Horizontal_Black,8,Screw_Terminal_01x02,
J25,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_Socket,
"J27, J29, J30, J31",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02_Socket,
J5,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
"L1, L2, L3",AOTA-B201610S3R3-101-T(L_0806_2016metric),3,3.3u,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,
R1,0603,1,33,C25105
"R10, R9",0603,2,5.1k,C25105
"R11, R12, R5",0603,3,1k,C11702
"R13, R17, R4",0603,3,100,C25076
"R14, R32, R33, R34, R35, R36, R37",0603,7,10k,C25744
"R15, R23",0603,2,100k,C25792
"R16, R20, R21, R24, R28, R29",0603,6,100k,C25741
"R18, R27",0603,2,47K,C25741
R19,1206,1,2m,
"R2, R3",0603,2,27,C25092
R22,0603,1,47k,C25792
"R25, R6",0603,2,270,C25076
R26,0603,1,15k,C25756
R30,0603,1,68k,C25792
R31,0603,1,13k,C25756
"R38, R39, R46, R47",0603,4,5M,
"R40, R41, R48, R49",0603,4,1k,
"R42, R44, R50, R52",0603,4,10k,
"R43, R45, R51, R53",0603,4,1M,
"R7, R8",0603,2,4.7k,C25900
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVS,C97521
U10,SOT-23-8,1,INA219AxDCN,
U11,SOT-23-5,1,AP2112K-3.3,
"U12, U14",TSOT-23-6,2,AP62150WU,C3194237
"U13, U9",Texas_VQFN-HR-12_2x2.5mm_P0.5mm,2,TPS2121RUXR,C485916
U15,SSOP-20_4.4x6.5mm_P0.65mm,1,74AHC541,
U2,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350B-QFN80,
U3,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,C404329
U4,Bosch_LGA-14_3x2.5mm_P0.5mm,1,ICM-45686,C22459454
U5,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,C15639
U6,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TMP117xxDRV,
U7,ublox_MAX,1,MAX-M10S,
U8,LGA-12_2x2mm_P0.5mm,1,KX134-1211,C2157908
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
