Designator,Mid X,Mid Y,Rotation,Layer
C1,54.0,-65.5,0.0,top
C10,36.8,-76.0,180.0,top
C11,36.8,-74.5,180.0,top
C12,33.5,-63.4,180.0,top
C13,45.4,-62.0,0.0,top
C14,45.6,-80.0,135.0,top
C15,47.55,-77.95,225.0,top
C16,48.978249,-79.371751,225.0,top
C17,57.0,-74.5,0.0,top
C18,33.5,-66.41,180.0,top
C19,33.5,-72.2,0.0,top
C2,37.25,-69.875,270.0,top
C20,36.4,-52.4,180.0,bottom
C21,54.425,-53.4,180.0,bottom
C22,36.4,-49.4,180.0,bottom
C23,57.075,-52.65,270.0,bottom
C24,45.4,-51.0,180.0,bottom
C25,56.5,-57.5,270.0,bottom
C26,38.65,-36.075,270.0,bottom
C27,36.85,-36.1,270.0,bottom
C28,36.4,-58.0,180.0,bottom
C29,36.4,-56.5,180.0,bottom
C3,36.8,-77.75,180.0,top
C30,45.475,-97.475,180.0,top
C31,52.7,-85.3,180.0,bottom
C32,60.3,-79.65,180.0,bottom
C33,60.3,-86.05,180.0,bottom
C34,47.5,-96.0,270.0,bottom
C35,53.5,-96.0,270.0,bottom
C36,53.5,-99.4,90.0,bottom
C37,41.675,-85.3,180.0,bottom
C38,37.5,-96.0,270.0,bottom
C39,43.5,-96.0,270.0,bottom
C4,33.5,-64.9,180.0,top
C40,43.5,-99.4,90.0,bottom
C41,33.5,-73.7,180.0,top
C42,35.85,-80.5,180.0,bottom
C43,26.75,-65.5,0.0,top
C44,67.8,-112.0,0.0,top
C45,23.0,-112.0,180.0,top
C46,64.2,-115.825,90.0,bottom
C47,52.95,-115.825,90.0,bottom
C48,37.85,-115.775,90.0,bottom
C49,26.6,-115.775,90.0,bottom
C5,54.0,-77.5,0.0,top
C6,54.0,-64.0,0.0,top
C7,54.0,-67.0,0.0,top
C8,54.0,-74.5,0.0,top
C9,36.8,-79.5,180.0,top
D1,36.4,-92.0,0.0,top
D10,57.4,-26.0,0.0,top
D11,33.4,-26.0,0.0,top
D2,54.4,-92.0,180.0,top
D3,45.4,-44.0,180.0,bottom
D4,55.0,-83.0,0.0,bottom
D5,35.8,-83.0,180.0,bottom
D6,62.275,-94.6,180.0,bottom
D7,28.0,-85.5,0.0,bottom
D8,62.275,-102.0,180.0,bottom
D9,28.1,-93.25,0.0,bottom
F1,64.0,-88.5,0.0,bottom
F2,27.25,-91.0,180.0,bottom
F3,63.9,-96.55,0.0,bottom
F4,27.75,-99.0,180.0,bottom
FB1,34.32,-36.17,90.0,bottom
G1,32.23,-117.09,0.0,top
G2,58.55,-117.1,0.0,top
G3,36.1,-101.6,0.0,top
J1,67.0,-70.8,90.0,top
J10,59.83,-117.1,180.0,top
J11,33.51,-117.05,180.0,top
J12,29.85,-70.8,90.0,bottom
J13,69.0,-57.0,270.0,top
J14,57.29,-117.1,180.0,top
J15,30.97,-117.05,180.0,top
J16,54.75,-117.1,180.0,top
J17,28.43,-117.05,180.0,top
J18,21.8,-46.7,90.0,top
J19,69.0,-46.7,270.0,top
J2,45.4,-26.0,0.0,top
J20,23.9,-83.25,270.0,top
J21,66.9,-83.25,90.0,top
J22,66.9,-90.25,90.0,top
J23,23.9,-90.25,270.0,top
J24,50.55,-17.1,0.0,top
J25,23.2,-70.8,270.0,top
J26,21.8,-36.4,90.0,top
J27,69.0,-28.1,270.0,top
J28,40.25,-17.1,0.0,top
J29,21.8,-28.1,90.0,top
J3,66.9,-104.25,90.0,top
J30,31.95,-17.1,0.0,top
J31,58.85,-17.1,0.0,top
J32,66.9,-97.25,90.0,top
J33,23.9,-97.25,270.0,top
J4,23.9,-104.25,270.0,top
J5,45.4,-112.975,180.0,top
J6,69.0,-36.4,270.0,top
J7,62.37,-117.1,180.0,top
J8,36.05,-117.05,180.0,top
J9,21.8,-57.0,90.0,top
L1,50.3,-80.8,225.0,top
L2,50.4,-95.3,0.0,bottom
L3,40.375,-95.35,0.0,bottom
Q1,62.025,-91.65,0.0,bottom
Q2,28.25,-88.45,180.0,bottom
Q3,62.003636,-99.069,0.0,bottom
Q4,28.3,-96.1275,180.0,bottom
R1,48.082862,-82.115185,135.0,top
R10,57.0,-67.0,0.0,top
R11,54.4,-90.0,0.0,top
R12,36.4,-90.0,0.0,top
R13,49.0,-44.0,0.0,bottom
R14,38.65,-33.1,90.0,bottom
R15,48.0,-89.0,0.0,bottom
R16,49.5,-90.5,180.0,bottom
R17,51.8,-83.0,180.0,bottom
R18,54.0,-89.0,180.0,bottom
R19,45.4,-103.0,0.0,top
R2,57.0,-76.0,0.0,top
R20,52.5,-90.5,0.0,bottom
R21,49.5,-85.5,0.0,bottom
R22,46.8,-98.3,180.0,bottom
R23,37.0,-89.0,0.0,bottom
R24,38.475,-90.5,180.0,bottom
R25,39.0,-83.0,0.0,bottom
R26,46.8,-99.8,0.0,bottom
R27,42.975,-89.0,180.0,bottom
R28,41.475,-90.5,0.0,bottom
R29,38.475,-85.5,0.0,bottom
R3,57.0,-77.5,0.0,top
R30,36.8,-98.3,180.0,bottom
R31,36.8,-99.8,0.0,bottom
R32,32.6,-83.2,0.0,bottom
R33,32.6,-59.9,0.0,bottom
R34,32.6,-58.4,0.0,bottom
R35,32.6,-81.7,180.0,bottom
R36,32.6,-61.4,180.0,bottom
R37,32.6,-80.2,0.0,bottom
R38,58.4375,-91.55,0.0,bottom
R39,31.75,-88.55,180.0,bottom
R4,36.4,-94.0,0.0,top
R40,58.425,-94.55,180.0,bottom
R41,31.75,-85.55,0.0,bottom
R42,58.425,-93.05,180.0,bottom
R43,58.4375,-90.05,180.0,bottom
R44,31.75,-87.05,0.0,bottom
R45,31.75,-90.05,0.0,bottom
R46,58.475,-98.95,0.0,bottom
R47,31.8,-96.25,180.0,bottom
R48,58.475,-101.95,180.0,bottom
R49,31.8,-93.25,0.0,bottom
R5,35.75,-69.875,90.0,top
R50,58.475,-100.45,180.0,bottom
R51,58.475,-97.45,180.0,bottom
R52,31.8,-94.75,0.0,bottom
R53,31.8,-97.75,0.0,bottom
R6,54.4,-94.0,180.0,top
R7,50.325,-60.1,90.0,bottom
R8,51.8,-60.1,90.0,bottom
R9,57.0,-65.5,0.0,top
SW1,54.4,-87.0,180.0,top
SW2,36.4,-87.0,180.0,top
U1,57.0,-70.8,180.0,top
U10,45.4,-100.0,0.0,top
U11,60.3,-82.85,90.0,bottom
U12,50.4,-98.0,180.0,bottom
U13,40.0,-88.0,0.0,bottom
U14,40.4,-98.0,180.0,bottom
U15,45.4,-88.0,180.0,top
U2,45.4,-70.8,315.0,top
U3,36.4,-51.0,0.0,top
U4,54.4,-51.0,90.0,top
U5,45.4,-54.5,0.0,top
U6,54.4,-57.0,0.0,top
U7,45.4,-37.0,180.0,bottom
U8,36.4,-57.25775,0.0,top
U9,51.0,-88.0,0.0,bottom
Y1,33.25,-69.3,270.0,top
